gene	sample	condition	age	cpm
ENSOCUG00000023455	rabA130	control	adult	0.254680376186311
ENSOCUG00000023455	rabA440	control	adult	1.77723846553973
ENSOCUG00000023455	rabA443	RHDV-1_24	adult	3.27679381442531
ENSOCUG00000023455	rabA444	RHDV-1_12	adult	3.29285061933576
ENSOCUG00000023455	rabA445	control	adult	0.301216793793351
ENSOCUG00000023455	rabA446	control	adult	0.900313308361562
ENSOCUG00000023455	rabA447	control	adult	0.377833306115422
ENSOCUG00000023455	rabA448	RHDV-1_24	adult	6.60092769276526
ENSOCUG00000023455	rabA449	RHDV-1_24	adult	3.19211271615911
ENSOCUG00000023455	rabA450	RHDV-1_24	adult	4.105236861297
ENSOCUG00000023455	rabA451	RHDV-1_12	adult	3.30364915656788
ENSOCUG00000023455	rabA452	RHDV-1_12	adult	4.77866593274071
ENSOCUG00000023455	rabK10	RHDV-1_24	kitten	5.99188402847138
ENSOCUG00000023455	rabK11	control	kitten	4.98351486530123
ENSOCUG00000023455	rabK12	control	kitten	5.77382151135881
ENSOCUG00000023455	rabK13	RHDV-1_12	kitten	5.63564698765216
ENSOCUG00000023455	rabK14	control	kitten	4.6117854601433
ENSOCUG00000023455	rabK1	RHDV-1_12	kitten	5.28141329759453
ENSOCUG00000023455	rabK2	control	kitten	5.97703992057338
ENSOCUG00000023455	rabK375	RHDV-2_24	kitten	7.28541817001872
ENSOCUG00000023455	rabK376	RHDV-2_24	kitten	5.06839364744412
ENSOCUG00000023455	rabK377	RHDV-2_24	kitten	8.84452217664407
ENSOCUG00000023455	rabK378	RHDV-2_24	kitten	7.42300173638647
ENSOCUG00000023455	rabK379	RHDV-2_12	kitten	0.87780507094613
ENSOCUG00000023455	rabK380	RHDV-2_12	kitten	3.71244014260012
ENSOCUG00000023455	rabK381	RHDV-2_12	kitten	4.01500436036461
ENSOCUG00000023455	rabK3	control	kitten	7.56917553427505
ENSOCUG00000023455	rabK4	RHDV-1_24	kitten	4.03204861592701
ENSOCUG00000023455	rabK5	RHDV-1_12	kitten	3.2860100880585
ENSOCUG00000023455	rabK6	RHDV-1_24	kitten	4.25071830843381
ENSOCUG00000023455	rabK7	RHDV-1_12	kitten	4.37523952278235
ENSOCUG00000023455	rabK8	RHDV-1_24	kitten	7.84603394133173
ENSOCUG00000023455	rabK9	control	kitten	5.65705968609082
ENSOCUG00000025530	rabA130	control	adult	0.382020564279466
ENSOCUG00000025530	rabA440	control	adult	6.99787645806268
ENSOCUG00000025530	rabA443	RHDV-1_24	adult	10.5865646312202
ENSOCUG00000025530	rabA444	RHDV-1_12	adult	7.80091991961687
ENSOCUG00000025530	rabA445	control	adult	0.753041984483378
ENSOCUG00000025530	rabA446	control	adult	2.2507832709039
ENSOCUG00000025530	rabA447	control	adult	0.917595171994597
ENSOCUG00000025530	rabA448	RHDV-1_24	adult	24.7632435338057
ENSOCUG00000025530	rabA449	RHDV-1_24	adult	10.4807700847224
ENSOCUG00000025530	rabA450	RHDV-1_24	adult	11.1082879776272
ENSOCUG00000025530	rabA451	RHDV-1_12	adult	11.9357646946968
ENSOCUG00000025530	rabA452	RHDV-1_12	adult	14.5702461282584
ENSOCUG00000025530	rabK10	RHDV-1_24	kitten	16.0863192836439
ENSOCUG00000025530	rabK11	control	kitten	15.6324992616818
ENSOCUG00000025530	rabK12	control	kitten	14.3970614309207
ENSOCUG00000025530	rabK13	RHDV-1_12	kitten	16.9681979954309
ENSOCUG00000025530	rabK14	control	kitten	13.8353563804299
ENSOCUG00000025530	rabK1	RHDV-1_12	kitten	17.705721628821
ENSOCUG00000025530	rabK2	control	kitten	14.7885523808001
ENSOCUG00000025530	rabK375	RHDV-2_24	kitten	21.8562545100562
ENSOCUG00000025530	rabK376	RHDV-2_24	kitten	13.8536093030139
ENSOCUG00000025530	rabK377	RHDV-2_24	kitten	30.0991592398882
ENSOCUG00000025530	rabK378	RHDV-2_24	kitten	28.0625675399976
ENSOCUG00000025530	rabK379	RHDV-2_12	kitten	3.16985164508325
ENSOCUG00000025530	rabK380	RHDV-2_12	kitten	10.6069718360003
ENSOCUG00000025530	rabK381	RHDV-2_12	kitten	8.10436065332857
ENSOCUG00000025530	rabK3	control	kitten	23.9690558585377
ENSOCUG00000025530	rabK4	RHDV-1_24	kitten	14.0904924750138
ENSOCUG00000025530	rabK5	RHDV-1_12	kitten	11.3077405971425
ENSOCUG00000025530	rabK6	RHDV-1_24	kitten	14.9508023262155
ENSOCUG00000025530	rabK7	RHDV-1_12	kitten	11.6397881643832
ENSOCUG00000025530	rabK8	RHDV-1_24	kitten	21.7749481293139
ENSOCUG00000025530	rabK9	control	kitten	14.0984534364295
